ZIP,LAT,LNG,City,State ,County
84014,40.932087,-111.884033,Centerville,UT,Davis
84015,41.120367,-112.06076,Clearfield,UT,Davis
84017,40.929601,-111.224304,Coalville,UT,Summit
84018,41.215208,-111.445654,Croydon,UT,Morgan
84020,40.500154,-111.869576,Draper,UT,Salt Lake
84021,40.108244,-110.533742,Duchesne,UT,Duchesne
84022,40.391658,-112.62672,Dugway,UT,Tooele
84023,40.939026,-109.189534,Dutch John,UT,Daggett
84024,41.007664,-111.447334,Echo,UT,Summit
84025,40.980801,-111.904831,Farmington,UT,Davis
84026,40.28278,-109.837771,Fort Duchesne,UT,Uintah
84027,40.153826,-110.819968,Fruitland,UT,Duchesne
84028,41.92378,-111.412329,Garden City,UT,Rich
84029,40.64637,-112.729081,Grantsville,UT,Tooele
84031,40.564466,-110.810639,Hanna,UT,Duchesne
84032,40.539413,-111.321274,Heber City,UT,Wasatch
